需求ID,需求名称,模块,设计文档,代码模块,测试用例,验收结果
REQ-037,仓库基础数据管理,WMS模块,05-Business-Requirements/WMS仓库.md,com.meession.etm.module.wms.controller.warehouse,TC-WMS-001~003,待验收
REQ-038,入库/出库/移库操作,WMS模块,05-Business-Requirements/WMS仓库.md,com.meession.etm.module.wms.controller.inbound,TC-WMS-004~008,待验收
REQ-039,拣货与波次管理,WMS模块,05-Business-Requirements/WMS仓库.md,com.meession.etm.module.wms.controller.picking,TC-WMS-009~011,待验收
REQ-040,报表中心(多维度统计),报表模块,05-Business-Requirements/报表中心.md,com.meession.etm.module.report.controller,TC-REPORT-001~004,待验收
REQ-041,报表导出(Excel/PDF),报表模块,05-Business-Requirements/报表中心.md,com.meession.etm.module.report.service.export,TC-REPORT-005~006,待验收
REQ-042,AI对话(LLM多模型),AI模块,04-Solution-Architecture/AI设计.md,com.meession.etm.module.ai.controller.chat,TC-AI-001~004,待验收
REQ-043,AI绘图与写作,AI模块,05-Business-Requirements/AI模块.md,com.meession.etm.module.ai.controller.drawing,TC-AI-005~007,待验收
REQ-044,AI知识库管理,AI模块,05-Business-Requirements/AI模块.md,com.meession.etm.module.ai.controller.knowledge,TC-AI-008~010,待验收
REQ-045,统一商品管理,统一商品,05-Business-Requirements/统一商品.md,com.meession.etm.module.unified-product.controller,TC-UP-001~004,待验收
REQ-046,海外服务商城,海外服务,05-Business-Requirements/海外服务.md,com.meession.etm.module.overseas-service.controller,TC-OS-001~004,待验收
REQ-047,ZATCA电子发票生成,ZATCA模块,04-Solution-Architecture/ZATCA设计.md,com.meession.etm.module.zatca.controller.invoice,TC-ZATCA-001~004,待验收
REQ-048,ZATCA发票签名与上报,ZATCA模块,04-Solution-Architecture/ZATCA设计.md,com.meession.etm.module.zatca.service.signing,TC-ZATCA-005~006,待验收
REQ-049,国际化(i18n)多语言支持,基础框架,04-Solution-Architecture/国际化设计.md,com.meession.etm.module.system.i18n,TC-I18N-001~006,待验收
REQ-050,Admin Web管理后台,Web前端,14-Frontend/Web前端.md,Code/Web/src,TC-WEB-001~010,待验收
REQ-051,Admin移动端(H5/小程序/App),移动前端,14-Frontend/移动前端.md,Code/AdminMobileFrontend/src,TC-MOBILE-001~008,待验收
REQ-052,商城前端(顾客端),商城前端,14-Frontend/商城前端.md,Code/MallFrontend/src,TC-MALL-FE-001~006,待验收
